Epoch 1/5
Step 100: 1.7891566753387451
Step 200: 1.4316232204437256
Step 300: 1.1841237545013428
Step 400: 1.1012287139892578
Step 500: 1.0061779022216797
Step 600: 1.060958743095398
Step 700: 1.03114652633667
Step 800: 0.998199999332428
Step 900: 0.9699504375457764
Step 1000: 0.935090959072113
Epoch 2/5
Step 100: 0.8951786160469055
Step 200: 0.8740140199661255
Step 300: 0.8884761333465576
Step 400: 0.848329484462738
Step 500: 0.8661710023880005
Step 600: 0.8689689636230469
Step 700: 0.8305894732475281
Step 800: 0.8178120851516724
Step 900: 0.8576699495315552
Step 1000: 0.8215590715408325
Epoch 3/5
Step 100: 0.7959793210029602
Step 200: 0.7833262085914612
Step 300: 0.8093012571334839
Step 400: 0.8045446872711182
Step 500: 0.717164158821106
Step 600: 0.8284664750099182
Step 700: 0.7768315076828003
Step 800: 0.7113521695137024
Step 900: 0.7655108571052551
Step 1000: 0.7711728811264038
Epoch 4/5
Step 100: 0.7504872679710388
Step 200: 0.8207226991653442
Step 300: 0.7586578130722046
Step 400: 0.7668553590774536
Step 500: 0.7228625416755676
Step 600: 0.7292876243591309
Step 700: 0.6946390271186829
Step 800: 0.7473660111427307
Step 900: 0.7138601541519165
Step 1000: 0.7231519222259521
Epoch 5/5
Step 100: 0.7142926454544067
Step 200: 0.7498863935470581
Step 300: 0.6990841031074524
Step 400: 0.727347731590271
Step 500: 0.6758004426956177
Step 600: 0.6528142690658569
Step 700: 0.6695823073387146
Step 800: 0.7378131747245789
Step 900: 0.7821487784385681
Step 1000: 0.7065848708152771
